"","bwnetModuleLabels","bwnetModuleColors"
"TraesCS1A01G000100","37","skyblue3"
"TraesCS1A01G000200","37","skyblue3"
"TraesCS1A01G000300","37","skyblue3"
"TraesCS1A01G000400","37","skyblue3"
"TraesCS1A01G000500","0","grey"
"TraesCS1A01G000600","37","skyblue3"
"TraesCS1A01G000700","37","skyblue3"
"TraesCS1A01G000800","37","skyblue3"
"TraesCS1A01G000900","37","skyblue3"
"TraesCS1A01G001000","37","skyblue3"
"TraesCS1A01G001100","37","skyblue3"
"TraesCS1A01G001200","0","grey"
"TraesCS1A01G001300","37","skyblue3"
"TraesCS1A01G001400","37","skyblue3"
"TraesCS1A01G001500","37","skyblue3"
"TraesCS1A01G001600","0","grey"
"TraesCS1A01G001700","0","grey"
"TraesCS1A01G001800","5","green"
"TraesCS1A01G001900","16","lightcyan"
"TraesCS1A01G002000","0","grey"
"TraesCS1A01G002100","20","royalblue"
"TraesCS1A01G002200","6","red"
"TraesCS1A01G002300","1","turquoise"
"TraesCS1A01G002400","0","grey"
"TraesCS1A01G002500","3","brown"
"TraesCS1A01G002600","0","grey"
"TraesCS1A01G002700","8","pink"
"TraesCS1A01G002900","0","grey"
"TraesCS1A01G003000","11","greenyellow"
"TraesCS1A01G003100","0","grey"
"TraesCS1A01G003200","0","grey"
"TraesCS1A01G003300","0","grey"
"TraesCS1A01G003400","0","grey"
"TraesCS1A01G003700","0","grey"
"TraesCS1A01G003800","0","grey"
"TraesCS1A01G004000","0","grey"
"TraesCS1A01G004100","0","grey"
"TraesCS1A01G004200","0","grey"
"TraesCS1A01G004400","0","grey"
"TraesCS1A01G004500","0","grey"
"TraesCS1A01G004800","0","grey"
"TraesCS1A01G004900","0","grey"
"TraesCS1A01G005000","0","grey"
"TraesCS1A01G005100","16","lightcyan"
"TraesCS1A01G005200","10","purple"
"TraesCS1A01G005400","0","grey"
"TraesCS1A01G005500","4","yellow"
"TraesCS1A01G005600","16","lightcyan"
"TraesCS1A01G005700","4","yellow"
"TraesCS1A01G005800","17","grey60"
"TraesCS1A01G005900","3","brown"
"TraesCS1A01G006000","10","purple"
"TraesCS1A01G006200","10","purple"
"TraesCS1A01G006300","10","purple"
"TraesCS1A01G006500","1","turquoise"
"TraesCS1A01G006600","16","lightcyan"
"TraesCS1A01G006800","10","purple"
"TraesCS1A01G006900","0","grey"
"TraesCS1A01G007000","1","turquoise"
"TraesCS1A01G007100","0","grey"
"TraesCS1A01G007200","0","grey"
"TraesCS1A01G007300","0","grey"
"TraesCS1A01G007400","0","grey"
"TraesCS1A01G007500","5","green"
"TraesCS1A01G007600","0","grey"
"TraesCS1A01G007700","0","grey"
"TraesCS1A01G007800","1","turquoise"
"TraesCS1A01G007900","0","grey"
"TraesCS1A01G008000","0","grey"
"TraesCS1A01G008100","7","black"
"TraesCS1A01G008200","0","grey"
"TraesCS1A01G008400","0","grey"
"TraesCS1A01G008500","0","grey"
"TraesCS1A01G008600","0","grey"
"TraesCS1A01G008700","0","grey"
"TraesCS1A01G009000","16","lightcyan"
"TraesCS1A01G009100","3","brown"
"TraesCS1A01G009200","0","grey"
"TraesCS1A01G009300","16","lightcyan"
"TraesCS1A01G009400","0","grey"
"TraesCS1A01G009500","0","grey"
"TraesCS1A01G009600","0","grey"
"TraesCS1A01G009700","0","grey"
"TraesCS1A01G009800","0","grey"
"TraesCS1A01G009900","16","lightcyan"
"TraesCS1A01G010000","0","grey"
"TraesCS1A01G010200","0","grey"
"TraesCS1A01G010300","16","lightcyan"
"TraesCS1A01G010400","16","lightcyan"
"TraesCS1A01G010600","0","grey"
"TraesCS1A01G010700","0","grey"
"TraesCS1A01G010900","0","grey"
"TraesCS1A01G011100","26","darkorange"
"TraesCS1A01G011200","26","darkorange"
"TraesCS1A01G011300","11","greenyellow"
"TraesCS1A01G011400","0","grey"
"TraesCS1A01G011500","0","grey"
"TraesCS1A01G011600","26","darkorange"
"TraesCS1A01G011700","0","grey"
"TraesCS1A01G011800","2","blue"
"TraesCS1A01G011900","3","brown"
"TraesCS1A01G012000","16","lightcyan"
"TraesCS1A01G012100","0","grey"
"TraesCS1A01G012200","0","grey"
"TraesCS1A01G012300","0","grey"
"TraesCS1A01G012400","16","lightcyan"
"TraesCS1A01G012500","0","grey"
"TraesCS1A01G012600","0","grey"
"TraesCS1A01G012700","0","grey"
"TraesCS1A01G012800","0","grey"
"TraesCS1A01G012900","0","grey"
"TraesCS1A01G013000","3","brown"
"TraesCS1A01G013100","0","grey"
"TraesCS1A01G013200","0","grey"
"TraesCS1A01G013400","0","grey"
"TraesCS1A01G013500","18","lightgreen"
"TraesCS1A01G013600","2","blue"
"TraesCS1A01G013700","0","grey"
"TraesCS1A01G013800","1","turquoise"
"TraesCS1A01G013900","0","grey"
"TraesCS1A01G014000","0","grey"
"TraesCS1A01G014100","0","grey"
"TraesCS1A01G014200","0","grey"
"TraesCS1A01G014300","9","magenta"
"TraesCS1A01G014500","0","grey"
"TraesCS1A01G014600","0","grey"
"TraesCS1A01G014800","0","grey"
"TraesCS1A01G014900","3","brown"
"TraesCS1A01G015100","1","turquoise"
"TraesCS1A01G015200","0","grey"
"TraesCS1A01G015300","16","lightcyan"
"TraesCS1A01G015400","2","blue"
"TraesCS1A01G015500","0","grey"
"TraesCS1A01G015600","0","grey"
"TraesCS1A01G015700","0","grey"
"TraesCS1A01G015800","21","darkred"
"TraesCS1A01G015900","1","turquoise"
"TraesCS1A01G016000","3","brown"
"TraesCS1A01G016100","3","brown"
"TraesCS1A01G016200","0","grey"
"TraesCS1A01G016300","0","grey"
"TraesCS1A01G016400","0","grey"
"TraesCS1A01G016600","0","grey"
"TraesCS1A01G016700","0","grey"
"TraesCS1A01G016800","0","grey"
"TraesCS1A01G016900","16","lightcyan"
"TraesCS1A01G017000","4","yellow"
"TraesCS1A01G017100","0","grey"
"TraesCS1A01G017300","0","grey"
"TraesCS1A01G017400","0","grey"
"TraesCS1A01G017600","0","grey"
"TraesCS1A01G017700","0","grey"
"TraesCS1A01G017800","1","turquoise"
"TraesCS1A01G017900","3","brown"
"TraesCS1A01G018000","10","purple"
"TraesCS1A01G018100","0","grey"
"TraesCS1A01G018200","0","grey"
"TraesCS1A01G018300","27","white"
"TraesCS1A01G018400","0","grey"
"TraesCS1A01G018500","1","turquoise"
"TraesCS1A01G018600","10","purple"
"TraesCS1A01G018700","0","grey"
"TraesCS1A01G018800","0","grey"
"TraesCS1A01G018900","4","yellow"
"TraesCS1A01G019000","0","grey"
"TraesCS1A01G019200","0","grey"
"TraesCS1A01G019600","1","turquoise"
"TraesCS1A01G020000","4","yellow"
"TraesCS1A01G020100","0","grey"
"TraesCS1A01G020200","0","grey"
"TraesCS1A01G020300","16","lightcyan"
"TraesCS1A01G020400","4","yellow"
"TraesCS1A01G020500","16","lightcyan"
"TraesCS1A01G020600","16","lightcyan"
"TraesCS1A01G020700","15","midnightblue"
"TraesCS1A01G020800","0","grey"
"TraesCS1A01G020900","1","turquoise"
"TraesCS1A01G021000","10","purple"
"TraesCS1A01G021100","1","turquoise"
"TraesCS1A01G021200","3","brown"
"TraesCS1A01G021300","0","grey"
"TraesCS1A01G021400","11","greenyellow"
"TraesCS1A01G021700","2","blue"
"TraesCS1A01G022000","0","grey"
"TraesCS1A01G022500","16","lightcyan"
"TraesCS1A01G022600","0","grey"
"TraesCS1A01G022700","0","grey"
"TraesCS1A01G022800","0","grey"
"TraesCS1A01G022900","0","grey"
"TraesCS1A01G023000","0","grey"
"TraesCS1A01G023100","0","grey"
"TraesCS1A01G023200","21","darkred"
"TraesCS1A01G023300","0","grey"
"TraesCS1A01G023400","4","yellow"
"TraesCS1A01G023500","2","blue"
"TraesCS1A01G023600","2","blue"
"TraesCS1A01G023700","1","turquoise"
"TraesCS1A01G023800","7","black"
"TraesCS1A01G023900","0","grey"
"TraesCS1A01G024000","0","grey"
"TraesCS1A01G024100","0","grey"
"TraesCS1A01G024200","16","lightcyan"
"TraesCS1A01G024300","8","pink"
"TraesCS1A01G024400","11","greenyellow"
"TraesCS1A01G024500","16","lightcyan"
"TraesCS1A01G024600","0","grey"
"TraesCS1A01G024700","1","turquoise"
"TraesCS1A01G025100","6","red"
"TraesCS1A01G025200","0","grey"
"TraesCS1A01G025500","0","grey"
"TraesCS1A01G025600","3","brown"
"TraesCS1A01G025700","4","yellow"
"TraesCS1A01G025800","0","grey"
"TraesCS1A01G025900","4","yellow"
"TraesCS1A01G026000","2","blue"
"TraesCS1A01G026100","0","grey"
"TraesCS1A01G026200","3","brown"
"TraesCS1A01G026300","9","magenta"
"TraesCS1A01G026400","16","lightcyan"
"TraesCS1A01G026500","0","grey"
"TraesCS1A01G026600","0","grey"
"TraesCS1A01G026700","21","darkred"
"TraesCS1A01G026800","0","grey"
"TraesCS1A01G026900","0","grey"
"TraesCS1A01G027200","0","grey"
"TraesCS1A01G027300","18","lightgreen"
"TraesCS1A01G027500","0","grey"
"TraesCS1A01G027600","8","pink"
"TraesCS1A01G027700","0","grey"
"TraesCS1A01G027800","0","grey"
"TraesCS1A01G027900","0","grey"
"TraesCS1A01G028100","0","grey"
"TraesCS1A01G028200","0","grey"
"TraesCS1A01G028300","0","grey"
"TraesCS1A01G028400","0","grey"
"TraesCS1A01G028500","9","magenta"
"TraesCS1A01G028600","16","lightcyan"
"TraesCS1A01G028700","0","grey"
"TraesCS1A01G028800","16","lightcyan"
"TraesCS1A01G028900","16","lightcyan"
"TraesCS1A01G029000","0","grey"
"TraesCS1A01G029100","15","midnightblue"
"TraesCS1A01G029200","6","red"
"TraesCS1A01G029300","1","turquoise"
"TraesCS1A01G029500","2","blue"
"TraesCS1A01G029700","0","grey"
"TraesCS1A01G029800","3","brown"
"TraesCS1A01G029900","0","grey"
"TraesCS1A01G030000","5","green"
"TraesCS1A01G030100","5","green"
"TraesCS1A01G030400","22","darkgreen"
"TraesCS1A01G030500","16","lightcyan"
"TraesCS1A01G030600","0","grey"
"TraesCS1A01G030700","1","turquoise"
"TraesCS1A01G030800","7","black"
"TraesCS1A01G030900","16","lightcyan"
"TraesCS1A01G031100","0","grey"
"TraesCS1A01G031200","3","brown"
"TraesCS1A01G031300","1","turquoise"
"TraesCS1A01G031400","0","grey"
"TraesCS1A01G031600","16","lightcyan"
"TraesCS1A01G031700","0","grey"
"TraesCS1A01G031800","0","grey"
"TraesCS1A01G032000","0","grey"
"TraesCS1A01G032500","1","turquoise"
"TraesCS1A01G032600","0","grey"
"TraesCS1A01G032700","4","yellow"
"TraesCS1A01G032900","0","grey"
"TraesCS1A01G033000","0","grey"
"TraesCS1A01G033100","0","grey"
"TraesCS1A01G033200","3","brown"
"TraesCS1A01G033300","14","cyan"
"TraesCS1A01G033500","22","darkgreen"
"TraesCS1A01G033600","4","yellow"
"TraesCS1A01G033700","0","grey"
"TraesCS1A01G033800","4","yellow"
"TraesCS1A01G034100","2","blue"
"TraesCS1A01G034300","2","blue"
"TraesCS1A01G034600","22","darkgreen"
"TraesCS1A01G034700","11","greenyellow"
"TraesCS1A01G034900","0","grey"
"TraesCS1A01G035000","6","red"
"TraesCS1A01G035100","0","grey"
"TraesCS1A01G035200","2","blue"
"TraesCS1A01G035300","6","red"
"TraesCS1A01G035400","0","grey"
"TraesCS1A01G035500","16","lightcyan"
"TraesCS1A01G035600","3","brown"
"TraesCS1A01G035700","0","grey"
"TraesCS1A01G035800","16","lightcyan"
"TraesCS1A01G035900","2","blue"
"TraesCS1A01G036000","0","grey"
"TraesCS1A01G036100","0","grey"
"TraesCS1A01G036200","5","green"
"TraesCS1A01G036300","2","blue"
"TraesCS1A01G036500","4","yellow"
"TraesCS1A01G036600","0","grey"
"TraesCS1A01G036700","7","black"
"TraesCS1A01G036800","4","yellow"
"TraesCS1A01G036900","0","grey"
"TraesCS1A01G037100","0","grey"
"TraesCS1A01G037200","0","grey"
"TraesCS1A01G037300","2","blue"
"TraesCS1A01G037400","1","turquoise"
"TraesCS1A01G037500","0","grey"
"TraesCS1A01G037600","9","magenta"
"TraesCS1A01G037700","12","tan"
"TraesCS1A01G037800","12","tan"
"TraesCS1A01G037900","26","darkorange"
"TraesCS1A01G038100","2","blue"
"TraesCS1A01G038200","2","blue"
"TraesCS1A01G038300","9","magenta"
"TraesCS1A01G038400","4","yellow"
"TraesCS1A01G038600","0","grey"
"TraesCS1A01G038700","0","grey"
"TraesCS1A01G038800","0","grey"
"TraesCS1A01G038900","0","grey"
"TraesCS1A01G039000","0","grey"
"TraesCS1A01G039100","4","yellow"
"TraesCS1A01G039200","0","grey"
"TraesCS1A01G039300","0","grey"
"TraesCS1A01G039400","13","salmon"
"TraesCS1A01G039500","0","grey"
"TraesCS1A01G039600","0","grey"
"TraesCS1A01G039800","1","turquoise"
"TraesCS1A01G039900","22","darkgreen"
"TraesCS1A01G040000","0","grey"
"TraesCS1A01G040200","0","grey"
"TraesCS1A01G040300","0","grey"
"TraesCS1A01G040400","6","red"
"TraesCS1A01G040500","6","red"
"TraesCS1A01G040600","1","turquoise"
"TraesCS1A01G040700","2","blue"
"TraesCS1A01G040900","9","magenta"
"TraesCS1A01G041000","4","yellow"
"TraesCS1A01G041100","11","greenyellow"
"TraesCS1A01G041200","0","grey"
"TraesCS1A01G041300","2","blue"
"TraesCS1A01G041400","2","blue"
"TraesCS1A01G041500","0","grey"
"TraesCS1A01G041600","0","grey"
"TraesCS1A01G041700","21","darkred"
"TraesCS1A01G041800","0","grey"
"TraesCS1A01G041900","17","grey60"
"TraesCS1A01G042100","8","pink"
"TraesCS1A01G042300","0","grey"
"TraesCS1A01G042500","2","blue"
"TraesCS1A01G042700","3","brown"
"TraesCS1A01G042800","0","grey"
"TraesCS1A01G042900","4","yellow"
"TraesCS1A01G043000","0","grey"
"TraesCS1A01G043100","0","grey"
"TraesCS1A01G043200","0","grey"
"TraesCS1A01G043300","4","yellow"
"TraesCS1A01G043400","0","grey"
"TraesCS1A01G043500","17","grey60"
"TraesCS1A01G043600","0","grey"
"TraesCS1A01G043700","0","grey"
"TraesCS1A01G043900","0","grey"
"TraesCS1A01G044000","1","turquoise"
"TraesCS1A01G044100","0","grey"
"TraesCS1A01G044200","4","yellow"
"TraesCS1A01G044300","0","grey"
"TraesCS1A01G044400","0","grey"
"TraesCS1A01G044500","0","grey"
"TraesCS1A01G044600","3","brown"
"TraesCS1A01G044700","0","grey"
"TraesCS1A01G044800","0","grey"
"TraesCS1A01G045300","3","brown"
"TraesCS1A01G045400","0","grey"
"TraesCS1A01G045500","0","grey"
"TraesCS1A01G045600","0","grey"
"TraesCS1A01G045700","4","yellow"
"TraesCS1A01G045800","16","lightcyan"
"TraesCS1A01G046100","2","blue"
"TraesCS1A01G046200","5","green"
"TraesCS1A01G046300","2","blue"
"TraesCS1A01G046400","1","turquoise"
"TraesCS1A01G046500","0","grey"
"TraesCS1A01G046600","0","grey"
"TraesCS1A01G046700","0","grey"
"TraesCS1A01G046800","0","grey"
"TraesCS1A01G046900","2","blue"
"TraesCS1A01G047000","3","brown"
"TraesCS1A01G047200","4","yellow"
"TraesCS1A01G047300","3","brown"
"TraesCS1A01G047400","0","grey"
"TraesCS1A01G047500","0","grey"
