"gene","TF_family","class","isTF","isHomoeolog"
"TRIDC0UG000450","FAR1","singleton",TRUE,FALSE
"TRIDC0UG000680","B3","singleton",TRUE,FALSE
"TRIDC0UG000770","FAR1","singleton",TRUE,FALSE
"TRIDC0UG001450","CPP","singleton",TRUE,FALSE
"TRIDC0UG003140","MADS-M-type","singleton",TRUE,FALSE
"TRIDC0UG003820","C3H","singleton",TRUE,FALSE
"TRIDC0UG004780","NAC","singleton",TRUE,FALSE
"TRIDC0UG004970","NAC","singleton",TRUE,FALSE
"TRIDC0UG005140","C2H2","singleton",TRUE,FALSE
"TRIDC0UG005580","HB-HD-ZIP","singleton",TRUE,FALSE
"TRIDC0UG005900","Alfin-like","singleton",TRUE,FALSE
"TRIDC0UG006710","NAC","singleton",TRUE,FALSE
"TRIDC0UG007200","FAR1","singleton",TRUE,FALSE
"TRIDC0UG007620","MYB","singleton",TRUE,FALSE
"TRIDC0UG007810","FAR1","singleton",TRUE,FALSE
"TRIDC0UG008000","FAR1","singleton",TRUE,FALSE
"TRIDC0UG009150","HB-KNOX","singleton",TRUE,FALSE
"TRIDC0UG010830","GRAS","singleton",TRUE,FALSE
"TRIDC0UG011080","B3","singleton",TRUE,FALSE
"TRIDC0UG011350","NAC","singleton",TRUE,FALSE
"TRIDC0UG011810","B3","singleton",TRUE,FALSE
"TRIDC0UG012510","AP2/ERF-ERF","singleton",TRUE,FALSE
"TRIDC0UG012530","FAR1","singleton",TRUE,FALSE
"TRIDC0UG013850","NAC","singleton",TRUE,FALSE
"TRIDC0UG014680","C2C2-GATA","singleton",TRUE,FALSE
"TRIDC0UG015370","AP2/ERF-ERF","singleton",TRUE,FALSE
"TRIDC0UG015950","MADS-MIKC","singleton",TRUE,FALSE
"TRIDC0UG016020","OFP","singleton",TRUE,FALSE
"TRIDC0UG017360","GRAS","singleton",TRUE,FALSE
"TRIDC0UG017780","FAR1","singleton",TRUE,FALSE
"TRIDC0UG018200","B3","singleton",TRUE,FALSE
"TRIDC0UG018360","FAR1","singleton",TRUE,FALSE
"TRIDC0UG018450","FAR1","singleton",TRUE,FALSE
"TRIDC0UG018720","B3-ARF","singleton",TRUE,FALSE
"TRIDC0UG019300","MADS-M-type","singleton",TRUE,FALSE
"TRIDC0UG020870","MADS-M-type","singleton",TRUE,FALSE
"TRIDC0UG022530","B3","singleton",TRUE,FALSE
"TRIDC0UG022750","bHLH","singleton",TRUE,FALSE
"TRIDC0UG022900","FAR1","singleton",TRUE,FALSE
"TRIDC0UG026460","MADS-M-type","singleton",TRUE,FALSE
"TRIDC0UG027060","GeBP","singleton",TRUE,FALSE
"TRIDC0UG029170","C2C2-GATA","singleton",TRUE,FALSE
"TRIDC0UG033660","HB-other","singleton",TRUE,FALSE
"TRIDC1AG003170","GRAS","homolog",TRUE,TRUE
"TRIDC1AG003580","HB-other","singleton",TRUE,FALSE
"TRIDC1AG004880","MYB","homolog",TRUE,TRUE
"TRIDC1AG005190","MADS-M-type","homolog",TRUE,TRUE
"TRIDC1AG005200","MADS-M-type","hit2homolog",TRUE,FALSE
"TRIDC1AG006280","FAR1","homolog",TRUE,TRUE
"TRIDC1AG007150","HB-WOX","homolog",TRUE,TRUE
"TRIDC1AG007570","C2H2","unknown",TRUE,FALSE
"TRIDC1AG007920","AP2/ERF-AP2","homolog",TRUE,TRUE
"TRIDC1AG008490","LOB","homolog",TRUE,TRUE
"TRIDC1AG009380","MYB-related","homolog",TRUE,TRUE
"TRIDC1AG009520","WRKY","homolog",TRUE,TRUE
"TRIDC1AG009560","Trihelix","homolog",TRUE,TRUE
"TRIDC1AG010070","bZIP","homolog",TRUE,TRUE
"TRIDC1AG010080","HB-KNOX","homolog",TRUE,TRUE
"TRIDC1AG010090","HB-KNOX","homolog",TRUE,TRUE
"TRIDC1AG010550","B3","homolog",TRUE,TRUE
